SCHOOL_ID,SCHOOL_NM,SCH_ADDR,GRADE_CAT,GRADES,SCH_TYPE,X,Y,Name2,Status13,W_FROM_C,C_TO_W
"610,210",VON HUMBOLDT,"2620 W HIRSCH ST, 60622",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69,41.91,VON HUMBOLDT,Closed,,DIEGO
"610,224",WEST PULLMAN,"11941 S PARNELL AVE, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.64,41.68,WEST PULLMAN,Closed,,HALEY
"610,336",WILIAMS MIDDLE,"2710 S DEARBORN ST, 60616",MS,"6, 7, 2008","District, non-alternative",-87.63,41.84,WILIAMS MIDDLE,Closed,,DRAKE
"610,232",WILLIAMS ES,"2710 S DEARBORN ST, 60616",ES,"PK, K, 1, 2, 3, 4, 5","District, non-alternative",-87.63,41.84,WILLIAMS ES,Closed,,DRAKE
"610,285",WOODS,"6206 S RACINE AVE, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.65,41.78,WOODS,Closed,,BASS
"610,233",YALE,"7025 S PRINCETON AVE, 60621",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.63,41.77,YALE,Closed,,HARVARD
"400,095",GARFIELD PARK,"3250 W MONROE ST, 60624",ES,"K, 1, 2, 3, 4, 5, 6","District, non-alternative",-87.71,41.88,GARFIELD PARK,Closed,,FARADAY
"610,348",GOLDBLATT,"4257 W ADAMS ST, 60624",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.73,41.88,GOLDBLATT,Closed,,HEFFERAN
"609,913",GOODLOW,"2040 W 62ND ST, 60636",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68,41.78,GOODLOW,Closed,,EARLE
"610,240",HENSON,"1326 S AVERS AVE, 60623",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.72,41.86,HENSON,Closed,,"HUGHES, C"
"609,989",HERBERT,"2131 W MONROE ST, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.68,41.88,HERBERT,Closed,,DETT
"610,020",KEY,"517 N PARKSIDE AVE, 60644",ES,"K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.77,41.89,KEY,Closed,,ELLINGTON
"610,023",KING,"740 S CAMPBELL AVE, 60612",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.69,41.87,KING,Closed,,JENSEN
"610,028",KOHN,"10414 S STATE ST, 60628",ES,"PK, K, 1, 2, 3, 4, 5, 6, 7, 8","District, non-alternative",-87.62,41.7,KOHN,Closed,,"CULLEN, HUGHES L, LAVIZZO"
